id,book_id,location_id,edition,book_format
0,0,0,0,UNKNOWN
4,342,331,1,PAPERBACK
5,332,399,2,HARDCOVER
6,59,546,1,PAPERBACK
7,129,377,1,PAPERBACK
8,290,560,1,HARDCOVER
9,306,372,3,PAPERBACK
10,368,412,2,PAPERBACK
11,238,469,1,HARDCOVER
12,23,425,1,HARDCOVER
13,148,398,1,HARDCOVER
14,44,419,2,HARDCOVER
15,143,448,1,PAPERBACK
16,84,444,2,PAPERBACK
17,158,524,1,HARDCOVER
18,95,424,2,HARDCOVER
19,453,348,2,PAPERBACK
20,486,573,1,HARDCOVER
21,298,523,2,HARDCOVER
22,272,380,1,PAPERBACK
23,267,351,1,HARDCOVER
24,119,473,2,PAPERBACK
25,361,531,1,HARDCOVER
26,387,357,2,PAPERBACK
27,432,426,1,HARDCOVER
28,383,426,1,HARDCOVER
29,188,383,3,HARDCOVER
30,332,502,3,PAPERBACK
31,249,424,2,HARDCOVER
32,157,493,2,HARDCOVER
33,120,340,2,HARDCOVER
34,176,351,2,HARDCOVER
35,364,519,2,PAPERBACK
36,235,455,1,HARDCOVER
37,56,383,2,PAPERBACK
38,491,509,1,PAPERBACK
39,268,551,1,PAPERBACK
40,500,524,2,PAPERBACK
41,471,441,2,HARDCOVER
42,434,368,2,HARDCOVER
43,347,359,1,PAPERBACK
44,257,351,1,PAPERBACK
45,102,447,1,PAPERBACK
46,19,414,2,PAPERBACK
47,500,513,2,PAPERBACK
48,64,508,2,PAPERBACK
49,172,343,1,HARDCOVER
50,0,460,1,HARDCOVER
51,214,486,2,PAPERBACK
52,67,386,1,PAPERBACK
53,281,316,3,PAPERBACK
54,446,547,2,HARDCOVER
55,3,544,2,HARDCOVER
56,380,515,1,HARDCOVER
57,285,504,2,HARDCOVER
58,195,343,1,PAPERBACK
59,289,546,2,PAPERBACK
60,131,451,1,PAPERBACK
61,425,574,1,HARDCOVER
62,128,520,1,HARDCOVER
63,63,538,1,PAPERBACK
64,262,328,1,PAPERBACK
65,70,393,1,PAPERBACK
66,315,367,1,PAPERBACK
67,156,485,1,HARDCOVER
68,100,530,3,PAPERBACK
69,54,528,2,HARDCOVER
70,32,409,1,HARDCOVER
71,23,503,3,HARDCOVER
72,358,385,2,PAPERBACK
73,73,503,2,HARDCOVER
74,479,320,2,PAPERBACK
75,270,370,1,PAPERBACK
76,473,536,3,HARDCOVER
77,362,443,1,PAPERBACK
78,301,388,2,HARDCOVER
79,168,380,1,PAPERBACK
80,121,396,2,PAPERBACK
81,42,455,2,PAPERBACK
82,404,526,1,HARDCOVER
83,431,326,1,PAPERBACK
84,106,496,1,HARDCOVER
85,464,408,2,PAPERBACK
86,138,360,2,PAPERBACK
87,440,316,2,HARDCOVER
88,317,532,1,HARDCOVER
89,290,479,1,PAPERBACK
90,461,549,2,HARDCOVER
91,408,531,1,PAPERBACK
92,176,325,1,PAPERBACK
93,118,382,1,PAPERBACK
94,328,329,1,HARDCOVER
95,471,549,1,HARDCOVER
96,200,407,1,HARDCOVER
97,59,469,1,PAPERBACK
98,84,502,1,HARDCOVER
99,20,544,1,HARDCOVER
100,357,422,2,PAPERBACK
101,423,500,2,HARDCOVER
102,380,334,1,HARDCOVER
103,427,353,1,HARDCOVER
104,108,450,1,HARDCOVER
105,309,444,2,PAPERBACK
106,7,340,2,HARDCOVER
107,174,451,2,HARDCOVER
108,435,324,1,HARDCOVER
109,493,545,3,HARDCOVER
110,181,379,1,PAPERBACK
111,277,327,3,HARDCOVER
112,270,502,2,PAPERBACK
113,426,486,1,PAPERBACK
114,428,432,1,HARDCOVER
115,326,571,1,HARDCOVER
116,247,468,2,HARDCOVER
117,120,439,1,HARDCOVER
118,414,478,1,PAPERBACK
119,316,449,2,PAPERBACK
120,278,417,2,HARDCOVER
121,175,500,2,HARDCOVER
122,361,435,1,HARDCOVER
123,388,321,2,HARDCOVER
124,52,554,1,PAPERBACK
125,186,406,2,PAPERBACK
126,49,529,1,HARDCOVER
127,132,431,2,HARDCOVER
128,318,468,2,PAPERBACK
129,7,452,1,PAPERBACK
130,492,421,1,PAPERBACK
131,279,520,3,HARDCOVER
132,58,492,1,PAPERBACK
133,30,356,2,HARDCOVER
134,30,397,2,HARDCOVER
135,441,497,2,HARDCOVER
136,10,411,1,PAPERBACK
137,236,476,2,HARDCOVER
138,88,365,1,PAPERBACK
139,485,520,1,HARDCOVER
140,310,442,1,HARDCOVER
141,129,408,1,PAPERBACK
142,70,355,1,HARDCOVER
143,466,415,1,PAPERBACK
144,449,333,1,PAPERBACK
145,299,387,1,HARDCOVER
146,256,483,1,PAPERBACK
147,237,355,1,HARDCOVER
148,471,439,1,HARDCOVER
149,152,398,1,PAPERBACK
150,278,546,1,HARDCOVER
151,464,447,2,PAPERBACK
152,337,451,1,HARDCOVER
153,172,487,2,PAPERBACK
154,451,505,1,PAPERBACK
155,341,439,1,HARDCOVER
156,53,531,2,PAPERBACK
157,0,321,2,HARDCOVER
158,485,331,1,PAPERBACK
159,155,369,1,HARDCOVER
160,388,496,1,HARDCOVER
161,185,411,1,HARDCOVER
162,54,447,1,HARDCOVER
163,80,409,1,PAPERBACK
164,437,411,1,PAPERBACK
165,195,0,2,PAPERBACK
166,123,509,2,PAPERBACK
167,311,443,1,HARDCOVER
168,482,566,1,HARDCOVER
169,150,362,1,HARDCOVER
170,243,350,2,PAPERBACK
171,6,380,2,HARDCOVER
172,464,525,2,PAPERBACK
173,294,440,1,HARDCOVER
174,24,387,1,HARDCOVER
175,427,483,1,HARDCOVER
176,91,367,1,PAPERBACK
177,170,366,1,PAPERBACK
178,408,520,2,PAPERBACK
179,117,335,2,PAPERBACK
180,77,325,2,PAPERBACK
181,480,539,1,PAPERBACK
182,449,558,1,PAPERBACK
183,372,385,2,PAPERBACK
184,269,433,1,HARDCOVER
185,415,563,2,PAPERBACK
186,277,477,2,HARDCOVER
187,459,514,1,PAPERBACK
188,336,501,1,HARDCOVER
189,288,549,1,PAPERBACK
190,244,413,1,PAPERBACK
191,454,373,1,PAPERBACK
192,233,435,1,PAPERBACK
193,371,402,1,PAPERBACK
194,125,439,2,PAPERBACK
195,473,436,1,PAPERBACK
196,142,416,2,PAPERBACK
197,53,381,2,PAPERBACK
198,168,453,1,PAPERBACK
199,130,574,2,PAPERBACK
200,113,498,1,PAPERBACK
201,337,515,2,HARDCOVER
202,106,463,1,HARDCOVER
203,336,570,1,PAPERBACK
204,128,499,2,HARDCOVER
205,54,526,2,PAPERBACK
206,52,423,1,HARDCOVER
207,240,329,2,HARDCOVER
208,323,375,1,HARDCOVER
209,369,426,2,PAPERBACK
210,79,525,1,PAPERBACK
211,397,505,1,HARDCOVER
212,195,444,1,PAPERBACK
213,360,437,1,HARDCOVER
214,368,439,2,PAPERBACK
215,175,546,1,HARDCOVER
216,286,529,1,PAPERBACK
217,309,416,1,HARDCOVER
218,56,317,1,HARDCOVER
219,47,431,1,PAPERBACK
220,213,368,1,HARDCOVER
221,483,551,2,PAPERBACK
222,21,569,2,HARDCOVER
223,280,379,2,HARDCOVER
224,174,539,2,PAPERBACK
225,338,535,1,HARDCOVER
226,331,431,1,PAPERBACK
227,276,364,1,HARDCOVER
228,491,409,3,PAPERBACK
229,234,333,1,PAPERBACK
230,497,380,2,PAPERBACK
231,436,491,1,HARDCOVER
232,452,520,2,PAPERBACK
233,220,337,2,PAPERBACK
234,457,342,1,PAPERBACK
235,108,554,1,PAPERBACK
236,176,460,2,HARDCOVER
237,320,323,2,HARDCOVER
238,370,441,1,PAPERBACK
239,288,358,2,HARDCOVER
240,81,321,1,PAPERBACK
241,104,496,1,PAPERBACK
242,320,412,2,HARDCOVER
243,2,337,1,PAPERBACK
244,353,439,1,PAPERBACK
245,311,355,1,HARDCOVER
246,228,459,2,PAPERBACK
247,158,422,1,PAPERBACK
248,328,447,2,HARDCOVER
249,371,520,1,HARDCOVER
250,37,410,1,PAPERBACK
251,157,409,1,PAPERBACK
252,132,337,1,PAPERBACK
253,49,427,3,HARDCOVER
254,221,491,1,PAPERBACK
255,66,555,1,HARDCOVER
256,13,532,2,HARDCOVER
257,121,451,2,HARDCOVER
258,314,503,2,PAPERBACK
259,444,391,1,HARDCOVER
260,49,528,1,PAPERBACK
261,95,491,1,PAPERBACK
262,110,369,2,HARDCOVER
263,397,444,1,HARDCOVER
264,254,384,1,HARDCOVER
265,375,451,1,PAPERBACK
266,383,327,1,PAPERBACK
267,454,422,1,PAPERBACK
268,62,491,1,HARDCOVER
269,366,466,1,HARDCOVER
270,400,498,2,PAPERBACK
271,215,354,3,HARDCOVER
272,397,514,2,HARDCOVER
273,347,397,2,PAPERBACK
274,259,343,2,HARDCOVER
275,484,388,1,HARDCOVER
276,32,563,1,PAPERBACK
277,240,372,3,HARDCOVER
278,278,374,1,HARDCOVER
279,185,375,1,HARDCOVER
280,2,447,1,PAPERBACK
281,478,517,1,PAPERBACK
282,165,443,2,PAPERBACK
283,66,426,2,PAPERBACK
284,109,572,2,PAPERBACK
285,141,430,1,PAPERBACK
286,15,405,1,HARDCOVER
287,382,390,1,PAPERBACK
288,18,501,2,PAPERBACK
289,102,525,2,HARDCOVER
290,230,403,2,HARDCOVER
291,414,501,2,PAPERBACK
292,196,468,1,PAPERBACK
293,123,379,1,PAPERBACK
