,user_id,book_id,rating
0,10,222,3
1,990,357,3
2,964,21,2
3,1955,360,4
4,561,322,3
5,207,87,1
6,531,346,4
7,1994,120,5
8,1607,284,2
9,1002,484,5
10,1486,67,5
11,778,145,4
12,1337,87,4
13,1431,465,3
14,104,61,5
15,714,383,5
16,80,431,2
17,1784,123,1
18,1459,13,2
19,812,322,2
20,1623,406,4
21,1077,470,4
22,1865,323,1
23,531,227,2
24,1591,79,5
25,470,63,1
26,1462,353,2
27,1352,436,3
28,302,403,1
29,1872,292,1
30,52,45,3
31,230,31,2
32,1619,145,2
33,693,86,2
34,968,49,2
35,1899,41,1
36,907,74,4
37,1411,468,2
38,1339,490,4
39,312,293,3
40,1064,157,4
41,527,311,5
42,927,381,2
43,897,223,2
44,1912,494,5
45,1562,359,5
46,1827,226,3
47,214,21,3
48,1203,109,3
49,465,315,3
50,981,317,5
51,1607,239,3
52,1913,485,4
53,931,251,2
54,1062,488,2
55,294,463,4
56,165,315,3
57,651,112,5
58,1925,422,4
59,881,138,3
60,144,184,5
61,1869,486,5
62,1910,76,4
63,85,238,3
64,1094,243,3
65,1747,138,2
66,129,491,4
67,1164,420,4
68,583,386,2
69,1680,400,4
70,432,65,1
71,1708,405,5
72,32,241,2
73,721,494,5
74,1479,366,1
75,500,425,5
76,76,213,2
77,724,114,2
78,18,68,4
79,1994,347,4
80,876,105,4
81,1818,56,5
82,48,164,5
83,1116,174,5
84,1965,312,5
85,146,376,5
86,648,227,4
87,186,227,1
88,1834,68,3
89,731,258,5
90,563,417,2
91,532,395,2
92,396,60,2
93,1380,238,2
94,1554,469,4
95,580,60,2
96,1362,495,3
97,841,113,3
98,420,484,3
99,98,366,2
100,347,322,3
101,1917,220,1
102,1567,293,1
103,536,255,4
104,108,385,3
105,1449,170,1
106,611,457,1
107,853,444,3
108,1276,128,3
109,210,114,5
110,1291,323,1
111,1216,11,2
112,1635,429,4
113,1024,326,4
114,255,60,4
115,83,75,4
116,1372,160,2
117,1314,163,1
118,249,451,1
119,35,266,5
120,883,401,4
121,923,54,2
122,1536,237,1
123,1793,208,1
124,46,55,3
125,1849,403,1
126,1135,290,2
127,633,117,5
128,171,220,3
129,88,196,3
130,662,314,1
131,1808,155,4
132,197,448,1
133,570,461,1
134,1309,208,5
135,642,401,5
136,1351,89,2
137,799,166,1
138,343,47,1
139,388,335,1
140,1611,415,4
141,727,64,4
142,247,218,3
143,1405,335,1
144,1991,249,5
145,1904,432,2
146,333,77,4
147,1717,38,4
148,1812,176,3
149,261,405,1
150,408,80,3
151,1419,317,4
152,1259,226,3
153,256,48,2
154,1209,20,4
155,510,295,5
156,864,101,2
157,1266,38,2
158,1173,483,4
159,1093,329,2
160,1307,228,1
161,957,179,1
162,1631,309,5
163,463,177,1
164,337,42,3
165,1560,63,1
166,1992,45,1
167,1273,292,2
168,244,263,2
169,426,373,1
170,55,127,2
171,807,498,3
172,66,364,4
173,697,211,5
174,1858,336,3
175,1067,151,4
176,1647,455,1
177,1586,192,3
178,1880,219,5
179,1855,444,4
180,1428,115,4
181,1036,43,5
182,1799,272,4
183,1143,38,5
184,1819,196,4
185,1607,264,5
186,1313,426,1
187,1933,244,5
188,1408,497,3
189,1495,425,2
190,1092,298,1
191,1158,386,1
192,1206,423,1
193,1765,250,1
194,837,370,5
195,267,259,2
196,764,169,1
197,120,383,2
198,958,130,5
199,98,21,2
200,1544,234,2
201,339,55,2
202,1887,302,4
203,723,119,2
204,1600,159,1
205,686,205,1
206,936,416,2
207,100,211,5
208,1893,486,3
209,5,363,3
210,603,59,1
211,980,132,5
212,342,466,1
213,1335,323,1
214,1911,104,3
215,1344,226,5
216,1833,60,3
217,1926,357,5
218,462,217,2
219,175,113,3
220,720,115,3
221,1846,274,3
222,1190,449,2
223,549,363,5
224,1869,383,5
225,579,175,2
226,726,126,4
227,523,262,5
228,1455,218,1
229,826,276,2
230,1007,185,3
231,1445,20,2
232,270,178,4
233,184,407,3
234,674,196,4
235,146,238,3
236,1786,121,4
237,468,145,2
238,1389,446,5
239,1448,236,2
240,1781,343,1
241,1274,214,3
242,1613,357,5
243,1679,116,4
244,1680,359,1
245,1880,304,3
246,1410,308,1
247,375,447,2
248,339,64,2
249,641,309,2
250,1249,2,5
251,253,167,5
252,1071,118,5
253,1291,113,3
254,1514,71,1
255,1260,484,5
256,114,196,5
257,494,441,3
258,432,170,2
259,127,66,2
260,530,442,1
261,1709,300,4
262,993,473,2
263,1716,143,1
264,921,444,3
265,1450,49,5
266,1134,343,3
267,387,350,1
268,1180,478,1
269,1349,396,5
270,250,330,5
271,181,70,1
272,385,275,2
273,1501,289,5
274,381,182,4
275,581,204,1
276,1963,114,2
277,1992,171,2
278,409,245,3
279,1061,34,2
280,1841,317,2
281,1484,462,4
282,50,313,2
283,627,337,3
284,256,166,3
285,1895,132,5
286,1864,353,5
287,1335,268,4
288,1740,418,3
289,554,377,4
290,1780,320,4
291,1773,94,1
292,163,335,5
293,1029,190,1
294,599,248,2
295,1651,405,1
296,941,477,4
297,1106,457,3
298,522,112,3
299,979,55,5
300,1754,86,2
301,669,370,5
302,64,240,2
303,1629,239,3
304,604,18,3
305,538,255,2
306,781,348,4
307,926,346,4
308,494,430,2
309,1300,485,1
310,1910,206,5
311,1429,327,1
312,1198,413,4
313,1538,293,5
314,1532,418,1
315,1491,304,2
316,1712,95,2
317,805,491,2
318,409,10,3
319,280,358,4
320,444,58,3
321,798,479,4
322,429,40,1
323,165,201,3
324,804,31,4
325,1191,300,1
326,1338,92,4
327,825,45,5
328,1843,201,1
329,1328,486,3
330,176,264,4
331,813,22,4
332,1635,172,1
333,1398,439,2
334,1709,47,5
335,390,108,5
336,909,29,5
337,1714,281,4
338,1126,38,4
339,1693,128,1
340,796,6,1
