Name,Description,Time
LEGO Club,"This event will take place in person at Sedgwick Library.

Join our LEGO Club and work with other legoers to build a masterpiece. We’ll provide the LEGOs, while the kids provide the imagination. For ages 3 & up.

Space is limited!

*Masks are strongly recommended at all NYPL locations.",2025-03-25 00:27:12.000000
Canvas Painting for Teens,Hey teens!  Did you know that painting is a great way to improve your creative skills and destress? Join us to receive your very own canvas and create a painting of your choice. All materials will be provided by NYPL including snacks and drinks! Supplies are limited. Preregistration is required online.,2025-03-25 00:55:44.000000
Family Board Game Mondays!,"Board games of all types and all skill levels will be available for you to play with your friends, family, and neighbors. Use your critical thinking skills to strategize and win or work together as a team.",2025-03-24 21:29:32.000000
NYPL After School,"NYPL After School is a free drop-in program for kids aged 6–12 that takes place after regular school hours on Mondays through Thursdays. Join us homework help from one of our tutors or Teen Reading Ambassadors, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-25 00:18:36.000000
Teen Advisory,"This event will take place in person at the Morrisania Library.

Join the young adult staff to learn more about being a part of our Teen Advisory Group at the library. What can you do to be involved? Come give us ideas for social media, or just be a sounding board for what's going on in the YA (Young Adult) world today. What's new, what should everyone read, what's important to you that the library should promote. This is your group!",2025-03-24 17:22:56.000000
YA Craft Hour,Join us in person at Westchester Square for our craft time. Supplies will be rolled out onto the teen section via our craft cart. Just grab what you need and create whatever you want.,2025-03-24 13:48:49.000000
LEGO Club,"Do you like LEGOs? If you do, come to the Library every 2nd, 4th, and 5th Monday of the month at 3:30 for LEGO Club! We'll have lots of LEGOs out for you to play and build with. For children ages 5 to 12.

*Our 2nd Monday LEGO Club is canceled this month but will return in May!",2025-03-24 20:20:10.000000
Teen Prompted Journaling,"This program is held in person.  Join staff of the Pelham Bay Library in journaling your thoughts and dreams.  Get an NYPL notebook to record your words in, and sit quietly for an hour to write.  Can't think of a topic?  We'll provide prompts and talk them over.  For teens 12 - 18, no registration required.",2025-03-24 16:33:43.000000
Kids Coloring Club,"Join us for an in-person, drop in coloring club. Kids will be able to use an assortment of coloring pages, crayons and coloring pencils to create their own art. Supplies provided by the library, inspiration provided by kids!

Ages 5-10",2025-03-24 16:10:13.000000
NYPL After School,"NYPL After School is a free drop-in program for kids aged 6–12 that takes place after regular school hours on Mondays through Thursdays. Join us homework help from one of our tutors or Teen Reading Ambassadors, reading recommendations, fun writing, STEAM, and enrichment activities—and even snacks! No need to register—just show up! Everything is free.",2025-03-24 23:55:19.000000
Kid's Afternoon Coloring Café,Spend some time at the St. Agnes branch after school and let your creative endevors run wild! We'll have coloring sheets or you can create your own masterpeice!,2025-03-24 15:56:13.000000
Kids Coloring Club,"Join us for an in-person, drop-in coloring club. Kids will be able to use an assortment of coloring pages, crayons, and coloring pencils to create their own art. Supplies are provided by the library, and inspiration is provided by kids! Children 12 and under are welcome.",2025-03-25 01:38:09.000000
