,user_id,book_id
0,1475,251
1,33,151
2,870,101
3,1206,385
4,1910,235
5,816,97
6,1324,484
7,1366,171
8,1359,386
9,1185,286
10,518,302
11,1261,494
12,1974,43
13,1284,405
14,1529,242
15,1352,268
16,1159,365
17,553,112
18,769,390
19,267,306
20,1159,207
21,995,298
22,1839,280
23,1597,32
24,1754,414
25,727,76
26,1398,387
27,1168,45
28,879,51
29,1161,363
30,826,43
31,398,400
32,1115,403
33,253,243
34,1478,419
35,1282,471
36,620,461
37,952,244
38,191,235
39,1263,95
40,819,485
41,568,400
42,125,39
43,1176,448
44,1693,175
45,102,336
46,212,267
47,1358,434
48,455,457
49,826,178
50,1069,342
51,1984,416
52,139,128
53,9,118
54,628,160
55,119,167
56,635,204
57,516,476
58,1396,431
59,592,479
60,1355,274
61,1635,114
62,293,286
63,1837,282
64,1472,430
65,1525,465
66,1583,333
67,1308,118
68,1398,469
69,1092,208
70,187,482
71,244,215
72,419,398
73,150,390
74,1855,87
75,228,204
76,1763,8
77,346,426
78,1998,401
79,1943,234
80,958,171
81,1752,451
82,751,183
83,1096,83
84,1274,270
85,1371,350
86,1653,117
87,664,5
88,309,362
89,1506,91
90,538,234
91,1821,203
92,1428,378
93,919,454
94,191,17
95,407,400
96,846,161
97,293,256
98,1445,350
99,510,251
100,1960,496
101,682,104
102,1561,64
103,1666,126
104,1421,375
105,1726,20
106,1414,444
107,1755,11
108,1100,2
109,1222,411
110,1107,314
111,146,37
112,1172,69
113,1496,345
114,1871,478
115,1997,340
116,450,424
117,736,417
118,719,376
119,846,220
120,1095,121
121,285,457
122,317,182
123,1800,22
124,536,362
125,55,348
126,892,448
127,615,179
128,1310,455
129,160,447
130,1303,299
131,339,476
132,1802,494
133,1715,270
134,670,347
135,1969,176
136,1592,406
137,520,422
138,1802,421
139,434,422
140,498,423
141,1068,276
142,73,149
143,1668,397
144,972,281
145,1013,477
146,1677,490
147,1699,66
148,1914,30
149,432,246
150,199,231
151,1301,336
152,744,93
153,1654,82
154,1581,76
155,1455,259
156,1933,237
157,180,242
158,1494,471
159,47,314
160,716,436
161,862,154
162,797,219
163,1575,234
164,1161,252
165,852,282
166,104,148
167,828,158
168,1276,134
169,771,282
170,66,156
171,656,302
172,1992,327
173,802,323
174,1935,252
175,260,347
176,1222,370
177,1841,333
178,850,367
179,878,103
180,142,179
181,1833,435
182,1509,24
183,1250,350
184,266,494
185,686,453
186,1888,263
187,181,393
188,51,303
189,1614,96
190,1218,313
191,333,399
192,1838,127
193,1126,80
194,1188,40
195,1856,478
196,901,267
197,1516,94
198,1869,203
199,780,289
200,1034,446
201,1841,221
202,1942,415
203,368,433
204,1988,32
205,188,389
206,1722,415
207,1820,113
208,129,327
209,80,127
210,908,426
211,1865,413
212,735,154
213,414,284
214,1057,2
215,535,295
216,1941,279
217,1540,83
218,1779,98
219,1045,277
220,560,37
221,367,191
222,1545,397
223,442,263
224,551,4
225,1168,459
226,1379,149
227,1071,56
228,1718,38
229,416,212
230,413,93
231,440,27
232,334,375
233,169,181
234,239,484
235,1770,498
236,1943,164
237,1316,363
238,1735,374
239,635,155
240,967,54
241,1877,287
242,1748,8
243,1705,442
244,1659,119
245,158,487
246,1243,143
247,849,368
248,1980,441
249,1741,467
250,55,157
251,1871,349
252,904,350
253,1830,335
254,1653,492
255,1188,198
256,1449,257
257,1743,354
258,1985,140
259,847,308
260,362,326
261,1099,234
262,999,188
263,1092,415
264,310,240
265,615,67
266,1412,149
267,730,402
268,1369,214
269,1465,65
270,559,179
271,1342,499
272,338,399
273,1950,51
274,1468,162
275,1701,141
276,127,415
277,1919,247
278,1008,231
279,1704,379
280,1366,462
281,731,393
282,1920,491
283,144,81
284,929,358
285,800,14
286,40,225
287,14,368
288,216,105
289,1858,175
290,1345,136
291,754,367
292,1767,155
293,376,244
294,1363,39
295,1352,226
296,692,403
297,1877,118
298,1401,310
299,1090,460
300,886,13
301,1612,456
302,794,487
303,551,176
304,135,331
305,1751,447
306,1976,402
307,364,30
308,927,180
309,549,127
310,808,173
311,619,400
312,199,494
313,630,131
314,820,274
315,894,398
316,976,400
317,457,27
318,684,456
319,1792,34
320,1628,451
321,57,135
322,530,325
323,1572,295
324,603,18
325,750,248
326,757,190
327,218,233
328,1667,75
329,1305,246
330,1328,142
331,93,277
332,691,225
333,601,490
334,1277,469
335,1450,426
336,35,412
337,1595,245
338,525,164
339,1861,267
340,342,279
341,256,186
342,1783,128
343,52,152
344,1026,336
345,421,300
346,821,375
347,1263,443
348,851,76
349,1564,268
350,1692,196
351,1736,363
352,1715,138
353,748,403
354,102,201
355,1314,7
356,489,139
357,1673,28
358,1141,111
359,1104,21
360,484,253
361,355,484
362,1613,99
363,1645,108
364,322,399
365,1702,432
366,1853,76
367,107,75
368,163,245
369,1606,474
370,25,418
371,98,344
372,413,205
373,1010,156
374,1233,324
375,1645,318
376,1708,381
377,1563,358
378,1548,229
379,1811,129
380,1747,120
381,1017,294
382,1907,252
383,1333,376
384,803,369
385,814,482
386,7,373
387,1303,361
388,559,202
389,497,172
390,1421,279
391,1802,44
392,1972,225
393,1206,421
394,1770,398
395,1126,444
396,1529,358
397,1102,41
398,1796,144
399,999,342
400,1906,74
401,1316,70
402,1787,288
403,388,126
404,728,237
405,1163,47
406,384,206
407,1496,89
408,1811,275
409,1932,238
410,632,419
411,490,121
412,997,310
413,346,401
414,1877,199
415,1202,178
416,1568,448
417,456,125
418,1139,187
419,356,314
420,914,86
421,1949,64
422,1023,125
423,1874,294
424,1505,148
425,37,139
426,1901,267
427,1715,150
428,893,183
429,1129,56
430,822,54
431,113,410
432,1670,252
433,612,432
434,61,126
435,688,433
436,735,447
437,509,209
438,1493,224
439,895,285
440,442,320
441,1003,435
442,1500,371
443,1636,362
444,966,14
445,866,249
446,467,54
447,289,372
448,994,459
449,1457,376
450,717,20
451,1063,215
452,336,47
453,1779,216
454,1662,426
455,419,189
456,1697,451
457,439,150
458,666,163
459,1686,444
460,117,495
461,1810,112
462,345,293
463,1747,292
464,983,136
465,1860,270
466,986,100
467,1328,194
468,1477,111
469,233,353
470,1644,356
471,1869,275
472,1221,62
473,313,207
474,268,438
475,519,193
476,1950,279
477,179,418
478,1803,54
479,825,319
480,204,363
481,1874,242
482,1791,453
483,1819,32
484,335,252
485,533,257
486,1872,62
487,191,22
488,1954,353
489,1915,417
490,1126,344
491,1014,126
492,658,137
493,1141,315
494,220,140
495,1747,230
496,120,269
497,1337,382
498,627,239
499,1977,78
500,735,469
501,947,404
502,1144,224
503,972,170
504,570,36
505,614,92
506,1772,416
507,1896,119
508,737,137
509,1506,89
510,1813,87
511,1838,442
512,100,342
513,1331,324
514,1663,136
515,91,98
516,1852,381
517,1886,48
518,1080,142
519,46,489
520,700,30
521,1669,217
522,378,100
523,1793,276
524,90,273
525,1906,319
526,1079,122
527,1344,54
528,1459,476
529,1366,385
530,1635,282
531,1335,324
532,668,153
533,533,270
534,1690,305
535,1592,393
536,147,432
537,1737,370
538,1951,492
539,1304,209
540,1046,487
541,1277,255
542,724,86
543,357,469
544,89,312
545,1307,116
546,848,294
547,822,172
548,1611,437
549,449,400
550,369,276
551,1869,482
552,728,333
553,244,253
554,1622,29
555,1183,192
556,1021,489
557,1518,273
558,1374,466
559,1853,47
560,1005,306
561,1122,408
562,1613,438
563,1006,447
564,1222,290
565,901,370
566,811,264
567,122,1
568,1974,267
569,852,299
570,184,322
571,1501,187
572,248,184
573,58,499
574,1464,396
575,1165,199
576,769,388
577,1469,318
578,1922,376
579,453,287
580,827,124
581,1285,421
582,1643,225
583,1697,67
584,1265,86
585,593,80
586,1170,409
587,1974,42
588,1259,242
589,443,1
590,1548,64
591,1370,18
592,1876,462
593,174,365
594,888,144
595,1300,363
596,167,430
597,42,209
598,836,48
599,53,456
600,1053,158
601,712,384
602,1653,164
603,1581,311
604,1432,31
605,1035,206
606,1039,277
607,1126,54
608,1099,293
609,855,416
610,1554,294
611,1689,173
612,1461,368
613,1878,227
614,3,53
615,1048,333
616,1056,32
617,478,71
618,1641,59
619,1270,238
620,428,401
621,1459,76
622,1141,167
623,106,480
624,692,162
625,890,427
626,147,76
627,558,130
628,546,285
629,1030,168
630,503,423
631,506,429
632,897,67
633,764,50
634,283,148
635,456,350
636,53,373
637,1955,73
638,1489,198
639,955,463
640,608,479
641,421,345
642,1961,37
643,1618,189
644,1955,145
645,200,297
646,1492,326
647,1907,126
648,1589,86
649,1095,92
650,923,359
651,82,403
652,306,307
653,1713,138
654,1681,353
655,486,394
656,1565,59
657,1591,267
658,1327,323
659,1432,405
660,1167,415
661,1563,452
662,223,260
663,1522,338
664,1954,258
665,920,130
666,1888,62
667,1763,304
668,1850,381
669,325,492
670,1370,104
671,1400,123
672,778,169
673,1593,100
674,1896,43
675,1759,136
676,1791,437
677,1008,350
678,1165,486
679,1127,166
680,510,296
681,882,46
682,1041,330
683,1412,134
684,300,402
685,1215,365
686,229,460
687,53,392
688,1845,496
689,1101,35
690,1584,449
691,1517,288
692,242,327
693,1870,490
694,608,458
695,1392,300
696,616,212
697,1643,41
698,518,377
699,1964,171
700,1897,383
701,882,480
702,1478,128
703,1824,481
704,379,326
705,1915,18
706,1641,495
707,1310,493
708,997,181
709,1256,6
710,950,14
711,1990,347
712,1814,379
713,765,465
714,863,287
715,299,231
